C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
특성별,100만원 미만,13.4,B02,A01,A,1000 persons,T001,DT_712005_2024C005,취업자의 월평균 임금,취업자의 월평균 임금,2024,2026-01-26,군산시 전체,천명,712,월평균임금별
특성별,100만원~200만원 미만,9.7,B03,A01,A,1000 persons,T001,DT_712005_2024C005,취업자의 월평균 임금,취업자의 월평균 임금,2024,2026-01-26,군산시 전체,천명,712,월평균임금별
특성별,100만원 미만,1.3,B02,A02,A,1000 persons,T001,DT_712005_2024C005,취업자의 월평균 임금,취업자의 월평균 임금,2024,2026-01-26,청년(18~39세),천명,712,월평균임금별
특성별,100만원~200만원 미만,2,B03,A02,A,1000 persons,T001,DT_712005_2024C005,취업자의 월평균 임금,취업자의 월평균 임금,2024,2026-01-26,청년(18~39세),천명,712,월평균임금별
특성별,100만원 미만,1.1,B02,A03,A,1000 persons,T001,DT_712005_2024C005,취업자의 월평균 임금,취업자의 월평균 임금,2024,2026-01-26,청년(15~29세),천명,712,월평균임금별
특성별,100만원~200만원 미만,1.6,B03,A03,A,1000 persons,T001,DT_712005_2024C005,취업자의 월평균 임금,취업자의 월평균 임금,2024,2026-01-26,청년(15~29세),천명,712,월평균임금별
