stat_id,send_de,tbl_id,rec_tbl_se,org_id,vw_nm,tbl_nm,vw_cd
2025032,2026-02-13,DT_712005_2024F001,N,712,국내통계 주제별,건강보험 적용 인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024F002,N,712,국내통계 주제별,요양급여실적,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024F003,N,712,국내통계 주제별,주요 만성질환(7종) 진료인원,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024F004,N,712,국내통계 주제별,주요 암(7종) 진료인원,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024F005,N,712,국내통계 주제별,건강지표,MT_ZTITLE
