stat_id,send_de,tbl_id,rec_tbl_se,org_id,vw_nm,tbl_nm,vw_cd
2025032,2026-02-13,DT_712005_2024E001,N,712,국내통계 주제별,기초생활보장 수급인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E002,N,712,국내통계 주제별,장애인 등록인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E003,N,712,국내통계 주제별,장애유형별 장애인 등록 인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E004,N,712,국내통계 주제별,장애인복지 지급금액,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E005,N,712,국내통계 주제별,공적연금 가입인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E006,N,712,국내통계 주제별,가입자격별 국민연금 가입인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E007,N,712,국내통계 주제별,가입기간별 국민연금 가입인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E008,N,712,국내통계 주제별,가입기간별 공무원연금 가입인구,MT_ZTITLE
2025032,2026-02-13,DT_712005_2024E009,N,712,국내통계 주제별,가입기간별 사학연금 가입인구,MT_ZTITLE
