C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
특성별,월간 음주율,46.5,B02,A01,A,%,T001,DT_712005_2024F005,주요 만성질환(7종) 진료인원,건강지표,2024,2026-01-27,군산시 전체,%,712,건강지표별
특성별,스트레스 인지율,19.8,B03,A01,A,%,T001,DT_712005_2024F005,주요 만성질환(7종) 진료인원,건강지표,2024,2026-01-27,군산시 전체,%,712,건강지표별
특성별,월간 음주율,61.8,B02,A02,A,%,T001,DT_712005_2024F005,주요 만성질환(7종) 진료인원,건강지표,2024,2026-01-27,청년(18~39세),%,712,건강지표별
특성별,스트레스 인지율,18.5,B03,A02,A,%,T001,DT_712005_2024F005,주요 만성질환(7종) 진료인원,건강지표,2024,2026-01-27,청년(18~39세),%,712,건강지표별
특성별,월간 음주율,58.3,B02,A03,A,%,T001,DT_712005_2024F005,주요 만성질환(7종) 진료인원,건강지표,2024,2026-01-27,청년(15~29세),%,712,건강지표별
특성별,스트레스 인지율,17.5,B03,A03,A,%,T001,DT_712005_2024F005,주요 만성질환(7종) 진료인원,건강지표,2024,2026-01-27,청년(15~29세),%,712,건강지표별
