C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
특성별,주택소유인구,94384,B02,A01,A,household,T001,DT_712005_2024B001,가구원 수별 가구,소유 건수별 주택 소유 인구,2024,2026-01-26,군산시 전체,가구,712,소유건수별
특성별,주택소유비율,36.6,B03,A01,A,household,T001,DT_712005_2024B001,가구원 수별 가구,소유 건수별 주택 소유 인구,2024,2026-01-26,군산시 전체,가구,712,소유건수별
특성별,주택소유인구,7312,B02,A02,A,household,T001,DT_712005_2024B001,가구원 수별 가구,소유 건수별 주택 소유 인구,2024,2026-01-26,청년(18~39세),가구,712,소유건수별
특성별,주택소유비율,13,B03,A02,A,household,T001,DT_712005_2024B001,가구원 수별 가구,소유 건수별 주택 소유 인구,2024,2026-01-26,청년(18~39세),가구,712,소유건수별
특성별,주택소유인구,952,B02,A03,A,household,T001,DT_712005_2024B001,가구원 수별 가구,소유 건수별 주택 소유 인구,2024,2026-01-26,청년(15~29세),가구,712,소유건수별
특성별,주택소유비율,2.5,B03,A03,A,household,T001,DT_712005_2024B001,가구원 수별 가구,소유 건수별 주택 소유 인구,2024,2026-01-26,청년(15~29세),가구,712,소유건수별
