C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
지역별,청년인구(18~39세),13463272,B02,A01,A,person,T001,DT_712005_2024A001,전북 시・군별 청년인구,전북 시·군별 청년인구,2024,2026-01-26,전국,명,712,청년인구별
지역별,청년인구(18~39세),385523,B02,A02,A,person,T001,DT_712005_2024A001,전북 시・군별 청년인구,전북 시·군별 청년인구,2024,2026-01-26,전북,명,712,청년인구별
지역별,청년인구(18~39세),56117,B02,A03,A,person,T001,DT_712005_2024A001,전북 시・군별 청년인구,전북 시·군별 청년인구,2024,2026-01-26,군산시,명,712,청년인구별
