C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
특성별,농림어업,1010,B02,A01,A,Each                          ,T001,DT_712005_2024D005,업종별 등록사업체,업종별 등록사업체,2024,2026-01-27,군산시 전체,개,712,업종별
특성별,광·제조업,3500,B03,A01,A,Each                          ,T001,DT_712005_2024D005,업종별 등록사업체,업종별 등록사업체,2024,2026-01-27,군산시 전체,개,712,업종별
특성별,농림어업,91,B02,A02,A,Each                          ,T001,DT_712005_2024D005,업종별 등록사업체,업종별 등록사업체,2024,2026-01-27,청년(18~39세),개,712,업종별
특성별,광·제조업,335,B03,A02,A,Each                          ,T001,DT_712005_2024D005,업종별 등록사업체,업종별 등록사업체,2024,2026-01-27,청년(18~39세),개,712,업종별
특성별,농림어업,17,B02,A03,A,Each                          ,T001,DT_712005_2024D005,업종별 등록사업체,업종별 등록사업체,2024,2026-01-27,청년(15~29세),개,712,업종별
특성별,광·제조업,83,B03,A03,A,Each                          ,T001,DT_712005_2024D005,업종별 등록사업체,업종별 등록사업체,2024,2026-01-27,청년(15~29세),개,712,업종별
